Match,Tournament,StartDate,Type,I/O,Surface,Round,Opponent,Result,Score
575,Canada Masters,8/7,1000,Outdoor,Hard,Q,Xavier Malisse,W,"7–6(4), 6–7(5), 6–3"
576,Canada Masters,8/7,1000,Outdoor,Hard,S,Fernando González (2),W,"6–1, 5–7, 6–3"
577,Canada Masters,8/7,1000,Outdoor,Hard,Win (7),Richard Gasquet (4),W,"2–6, 6–3, 6–2"
578,Cincinnati Masters,8/14,1000,Outdoor,Hard,R64,Paradorn Srichaphan (2),W,"7–5, 6–4"
579,Cincinnati Masters,8/14,1000,Outdoor,Hard,R32,Andy Murray,L,"5–7, 4–6"
580,US Open,8/28,GS,Outdoor,Hard,R128,Jimmy Wang,W,"6–4, 6–1, 6–0"
581,US Open,8/28,GS,Outdoor,Hard,R64,Tim Henman (2),W,"6–3, 6–4, 7–5"
582,US Open,8/28,GS,Outdoor,Hard,R32,Vincent Spadea,W,"6–3, 6–3, 6–0"
583,US Open,8/28,GS,Outdoor,Hard,R16,Marc Gicquel,W,"6–3, 7–6(2), 6–3"
584,US Open,8/28,GS,Outdoor,Hard,Q,James Blake (3),W,"7–6(7), 6–0, 6–7(9), 6–4"
585,US Open,8/28,GS,Outdoor,Hard,S,Nikolay Davydenko (2),W,"6–1, 7–5, 6–4"
586,US Open,8/28,GS,Outdoor,Hard,Win (8),Andy Roddick,W,"6–2, 4–6, 7–5, 6–1"
587,SUI v. SCG WG Play-offs,9/22,DC,Indoor,Hard,RR,Janko Tipsarević,W,"6–3, 6–2, 6–2"
588,SUI v. SCG WG Play-offs,9/22,DC,Indoor,Hard,RR,Novak Djokovic (2),W,"6–3, 6–2, 6–3"
-,Tokyo,10/2,500,Outdoor,Hard,R64,Bye,,
589,Tokyo,10/2,500,Outdoor,Hard,R32,Viktor Troicki,W,"7–6(2), 7–6(3)"
590,Tokyo,10/2,500,Outdoor,Hard,R16,Wesley Moodie,W,"6–2, 6–1"
591,Tokyo,10/2,500,Outdoor,Hard,Q,Takao Suzuki,W,"4–6, 7–5, 7–6(3)"
592,Tokyo,10/2,500,Outdoor,Hard,S,Benjamin Becker,W,"6–3, 6–4"
593,Tokyo,10/2,500,Outdoor,Hard,Win (9),Tim Henman (3),W,"6–3, 6–3"
-,Madrid Masters,10/16,1000,Indoor,Hard,R64,Bye,,
594,Madrid Masters,10/16,1000,Indoor,Hard,R32,Nicolás Massú (3),W,"6–3, 6–2"
595,Madrid Masters,10/16,1000,Indoor,Hard,R16,Robin Söderling,W,"7–6(5), 7–6(8)"
596,Madrid Masters,10/16,1000,Indoor,Hard,Q,Robby Ginepri,W,"6–3, 7–6(4)"
597,Madrid Masters,10/16,1000,Indoor,Hard,S,David Nalbandian (3),W,"6–4, 6–0"
598,Madrid Masters,10/16,1000,Indoor,Hard,Win (10),Fernando González (3),W,"7–5, 6–1, 6–0"
599,Basel,10/23,250,Indoor,Hard,R32,Tomáš Zíb,W,"6–1, 6–2"
600,Basel,10/23,250,Indoor,Hard,R16,Guillermo García-López,W,"6–2, 6–0"
601,Basel,10/23,250,Indoor,Hard,Q,David Ferrer (3),W,"6–3, 7–6(14)"
602,Basel,10/23,250,Indoor,Hard,S,Paradorn Srichaphan (3),W,"6–4, 3–6, 7–6(5)"
603,Basel,10/23,250,Indoor,Hard,Win (11),Fernando González (4),W,"6–3, 6–2, 7–6(3)"
604,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,David Nalbandian (4),W,"3–6, 6–1, 6–1"
605,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,Andy Roddick (2),W,"4–6, 7–6(8), 6–4"
606,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,Ivan Ljubičić (3),W,"7–6(2), 6–4"
607,Tennis Masters Cup,11/13,WC,Indoor,Hard,S,Rafael Nadal (6),W,"6–4, 7–5"
608,Tennis Masters Cup,11/13,WC,Indoor,Hard,Win (12),James Blake (4),W,"6–0, 6–3, 6–4"
